run_id;date;parent_run_id;status;accepted_or_rejected;main_parameter;main_to;dependent_parameter;dependent_to;strategy_family;profile_mode;min_spy_channel_r2;max_avg_profile_distance;enable_close_vs_sma50_filter;max_close_vs_sma50_pct;top_candidates_next_week;w8_weeks_traded;w24_weeks_traded;w52_weeks_traded;w8_trades;w24_trades;w52_trades;w8_wins;w24_wins;w52_wins;w8_losses;w24_losses;w52_losses;w8_ties;w24_ties;w52_ties;w8_avg_net_return_pct;w24_avg_net_return_pct;w52_avg_net_return_pct;w8_total_net_pnl_dollars;w24_total_net_pnl_dollars;w52_total_net_pnl_dollars;w8_spy_compare;w24_spy_compare;w52_spy_compare;run_dir
EXP_1280;2026-04-30 22:18:21;EXP_1278;run_ok;accepted;TOP_CANDIDATES_NEXT_WEEK;2;;;;;;;;;;3;4;27;6;8;54;4;6;23;1;1;15;1;1;16;3,02;5,27;3,24222222222;90,6;210,8;875,4;3,02115530561;4,53899108474;2,86199667513;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1280_260430215925
EXP_1281;2026-04-30 23:07:55;EXP_1280;run_ok;accepted;MAX_AVG_PROFILE_DISTANCE;0.17;;;;;;;;;;2;3;25;4;6;50;3;5;22;0;0;13;1;1;15;4,77;7,18666666667;3,62;95,4;215,6;905;4,26595441052;5,87480241439;3,18051911045;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1281_260430224450
EXP_1282;2026-04-30 23:26:00;EXP_1281;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.52;;;;;;;;;;3;6;28;6;12;56;3;5;22;1;3;16;2;4;18;2,35333333333;2,35333333333;2,96642857143;70,6;141,2;830,6;2,07545918752;0,915787959427;2,40654636696;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1282_260430230803
EXP_1283;2026-04-30 23:39:21;BASELINE_CLEAN;run_ok;accepted;TOP_CANDIDATES_NEXT_WEEK;3;;;;;;;;;;3;4;27;9;12;81;5;7;29;2;2;26;2;3;26;2,52;3,93666666667;2,6187654321;113,4;236,2;1060,6;2,52115530561;3,20565775141;2,23853988501;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1283_260430232748
EXP_1284;2026-04-30 23:54:51;EXP_1283;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.5;;;;;;;;;;4;7;30;12;21;90;5;9;31;4;6;30;3;6;29;1,02;2,66285714286;2,45333333333;61,2;279,6;1104;1,06448366458;1,57518355034;1,9548076914;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1284_260430233928
EXP_1285;2026-05-01 00:05:49;EXP_1284;run_ok;accepted;MAX_AVG_PROFILE_DISTANCE;0.18;;;;;;;;;;3;6;28;9;18;84;4;8;30;2;4;26;3;6;28;2,07555555556;3,46444444444;2,82952380952;93,4;311,8;1188,4;1,79768140974;2,02689907054;2,26964160505;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1285_260430235458
EXP_1286;2026-05-01 00:18:36;EXP_1285;run_ok;accepted;TOP_CANDIDATES_NEXT_WEEK;2;;;;;;;;;;4;7;29;8;14;58;4;6;23;2;4;17;2;4;18;1,645;1,94857142857;2,8475862069;65,8;136,4;825,8;1,68948366458;0,86089783605;2,3418915645;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1286_260501000601
EXP_1287;2026-05-01 00:37:01;EXP_1286;run_ok;accepted;MIN_SPY_CHANNEL_R2;0.47;;;;;;;;;;5;8;30;10;16;60;5;7;24;2;4;17;3;5;19;2,32;2,3325;2,92;116;186,6;876;2,05830203444;1,19498254577;2,38161436281;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1287_260501001843
EXP_1288;2026-05-01 00:50:26;EXP_1287;run_ok;accepted;MAX_AVG_PROFILE_DISTANCE;0.17;;;;;;;;;;4;7;29;8;14;58;4;6;23;1;3;16;3;5;19;3,02;2,73428571429;3,03724137931;120,8;191,4;880,8;2,4399882691;1,28975761006;2,44540944099;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1288_260501003708
EXP_1289;2026-05-01 01:06:29;EXP_1288;run_ok;rejected;MIN_SPY_CHANNEL_R2;0.44;;;;;;;;;;5;8;30;10;16;60;4;6;23;3;5;18;3;5;19;1,32;1,7075;2,75333333333;66;136,6;826;1,1761483837;0,643636514062;2,23458875436;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1289_260501005033
